"Date","Year","Month","Day","Temp.deg.C","Total.Rain.mm","Total.Precip.mm"
"1965-04-25",1965,"Apr",25,11.1,0.3,0.3
"1965-04-26",1965,"Apr",26,14.2,0,0
"1965-04-27",1965,"Apr",27,16.4,2.5,2.5
"1965-04-28",1965,"Apr",28,8.6,0,0
"1965-04-29",1965,"Apr",29,10,1.5,1.5
"1965-04-30",1965,"Apr",30,6.1,4.1,4.1
"1965-05-01",1965,"May",1,6.1,0.5,0.5
"1965-05-02",1965,"May",2,6.9,3.6,3.6
"1965-05-03",1965,"May",3,5.3,18.8,18.8
"1965-05-04",1965,"May",4,5.9,3,3
"1965-05-05",1965,"May",5,4.2,0,0
"1965-05-06",1965,"May",6,8.4,0,0
"1965-05-07",1965,"May",7,9.5,0,0
"1965-05-08",1965,"May",8,11.1,0,0
"1965-05-09",1965,"May",9,13.3,0,0
"1965-05-10",1965,"May",10,12.2,0,0
"1965-05-11",1965,"May",11,13.4,0,0
"1965-05-12",1965,"May",12,11.9,0,0
"1965-05-13",1965,"May",13,10.3,0,0
"1965-05-14",1965,"May",14,8.4,0,0
"1965-05-15",1965,"May",15,8.9,33.3,33.3
"1965-05-16",1965,"May",16,7.3,6.9,6.9
"1965-05-17",1965,"May",17,7.5,0,0
"1965-05-18",1965,"May",18,9.4,0,0
"1965-05-19",1965,"May",19,8.6,19.6,19.6
"1965-05-20",1965,"May",20,8.9,0.3,0.3
"1965-05-21",1965,"May",21,11.2,0,0
"1965-05-22",1965,"May",22,11.4,0,0
"1965-05-23",1965,"May",23,10.9,0,0
"1965-05-24",1965,"May",24,11.4,0,0
"1965-05-25",1965,"May",25,10.9,0,0
"1965-05-26",1965,"May",26,13.9,0,0
"1965-05-27",1965,"May",27,16.4,0,0
"1965-05-28",1965,"May",28,12.5,0,0
"1965-05-29",1965,"May",29,12,7.6,7.6
"1965-05-30",1965,"May",30,10.3,0.8,0.8
"1965-05-31",1965,"May",31,10.9,0,0
"1965-06-01",1965,"Jun",1,13.9,0,0
"1965-06-02",1965,"Jun",2,16.2,0,0
"1965-06-03",1965,"Jun",3,14.2,0,0
"1965-06-04",1965,"Jun",4,16.4,0,0
"1965-06-05",1965,"Jun",5,16.2,0,0
"1965-06-06",1965,"Jun",6,14.7,0,0
"1965-06-07",1965,"Jun",7,18.6,0,0
"1965-06-08",1965,"Jun",8,17.2,0,0
"1965-06-09",1965,"Jun",9,13.7,0,0
"1965-06-10",1965,"Jun",10,15.6,9.7,9.7
"1965-06-11",1965,"Jun",11,13.6,0,0
"1965-06-12",1965,"Jun",12,10.9,0,0
"1965-06-13",1965,"Jun",13,11.7,0,0
"1965-06-14",1965,"Jun",14,13.9,0,0
"1965-06-15",1965,"Jun",15,14.5,0,0
"1965-06-16",1965,"Jun",16,17,0,0
"1965-06-17",1965,"Jun",17,18.6,0.5,0.5
"1965-06-18",1965,"Jun",18,11.1,0,0
"1965-06-19",1965,"Jun",19,13.9,0,0
"1965-06-20",1965,"Jun",20,13.1,0,0
"1965-06-21",1965,"Jun",21,12.8,0,0
"1965-06-22",1965,"Jun",22,13.9,1.3,1.3
"1965-06-23",1965,"Jun",23,14.8,2,2
"1965-06-24",1965,"Jun",24,13.6,0,0
"1965-06-25",1965,"Jun",25,12.3,0,0
"1965-06-26",1965,"Jun",26,11.7,0,0
"1965-06-27",1965,"Jun",27,11.4,0,0
"1965-06-28",1965,"Jun",28,14.4,0,0
"1965-06-29",1965,"Jun",29,18.4,0,0
"1965-06-30",1965,"Jun",30,21.4,0,0
"1965-07-01",1965,"Jul",1,21.7,0,0
"1965-07-02",1965,"Jul",2,18.6,0,0
"1965-07-03",1965,"Jul",3,21.2,0,0
"1965-07-04",1965,"Jul",4,17,0,0
"1965-07-05",1965,"Jul",5,18.4,0,0
"1965-07-06",1965,"Jul",6,21.4,0,0
"1965-07-07",1965,"Jul",7,17,0,0
"1965-07-08",1965,"Jul",8,10.6,1,1
"1965-07-09",1965,"Jul",9,11.4,0.8,0.8
"1965-07-10",1965,"Jul",10,12.2,6.4,6.4
"1965-07-11",1965,"Jul",11,12.5,0,0
"1965-07-12",1965,"Jul",12,15.3,0,0
"1965-07-13",1965,"Jul",13,18.3,0,0
"1965-07-14",1965,"Jul",14,19.5,0,0
"1965-07-15",1965,"Jul",15,18.9,0,0
"1965-07-16",1965,"Jul",16,18.9,0,0
"1965-07-17",1965,"Jul",17,15.6,0,0
"1965-07-18",1965,"Jul",18,14.7,0,0
"1965-07-19",1965,"Jul",19,13.1,7.1,7.1
